1	54.76	-0.27	-44.90	32.01	16.73	18.18	-41.55	54.72	-28.94	27.11	0.00	27	18	73	0	15	24	14.66	44.85	5467.60	41.63	-6375.20	
2	84.81	-3.23	-34.55	17.38	15.39	20.15	-58.53	33.10	-35.78	17.82	-0.32	15	22	55	8	24	28	0.93	21.56	5704.40	5.65	-5827.40	
3	48.32	40.37	-34.40	29.49	18.19	21.25	-207.61	121.20	-57.73	66.36	-0.62	32	25	49	18	34	27	0.12	23.36	7893.60	82.25	-7932.20	
4	46.51	65.58	-32.47	21.79	19.28	12.90	-26.95	155.83	-24.12	66.86	-1.20	37	38	59	7	34	21	16.14	15.40	7132.80	105.34	-7843.00	
5	72.21	17.04	-11.33	6.09	-3.42	15.57	0.00	7.96	-6.69	27.89	0.00	29	33	86	5	21	23	28.83	45.03	6729.00	49.81	-7882.20	
6	48.08	23.35	-26.70	10.06	14.25	12.48	-154.53	231.79	-33.23	28.16	-0.34	28	38	50	7	36	30	5.06	39.66	7211.00	51.26	-7374.60	
7	60.57	-19.76	-19.95	14.44	-0.22	7.49	-125.60	39.25	-50.61	23.87	0.00	24	35	69	5	20	17	28.86	46.49	6670.30	156.84	-7265.50	
8	55.02	-1.07	-37.39	29.04	10.23	16.89	-3.55	8.11	-8.44	19.38	0.00	9	32	27	12	41	33	-0.12	13.28	7118.80	62.17	-7407.50	
9	78.89	43.09	-25.55	27.33	2.46	13.67	-64.07	138.68	-57.49	69.75	0.00	33	28	52	8	19	19	5.92	11.35	5703.60	43.70	-6185.90	
10	56.25	12.60	-31.18	17.72	2.92	11.46	-62.03	165.65	-24.85	23.46	-0.54	17	29	44	9	35	32	1.43	19.95	6575.00	55.07	-7087.40	
11	81.04	-3.08	-22.93	22.54	3.78	16.20	-8.40	5.48	-14.70	23.95	0.00	22	27	71	0	29	34	17.13	32.34	6046.00	26.57	-6597.70	
12	42.91	15.51	-28.62	11.59	11.03	12.64	-110.56	94.60	-42.68	42.92	0.00	34	32	62	5	22	6	35.74	39.78	6576.20	126.14	-6987.50	
13	60.09	1.41	-27.99	13.96	11.71	14.59	-93.11	49.63	-69.67	33.62	0.00	25	26	47	4	13	16	2.21	9.08	5477.90	63.45	-6172.80	
14	90.12	19.76	-29.80	18.14	9.36	22.69	-53.34	102.02	-56.16	47.61	0.00	30	21	50	5	11	26	2.28	28.04	5101.00	22.93	-5627.60	
15	52.94	20.77	-32.71	16.66	7.59	17.72	-41.68	128.71	-33.56	34.17	0.00	21	19	43	5	18	36	15.36	32.76	5466.00	24.34	-6322.00	
16	61.85	26.22	-32.35	17.95	16.26	18.19	-167.90	153.66	-66.29	56.69	-0.75	25	25	64	5	35	47	-0.48	19.90	6592.20	38.13	-7611.00	
17	59.29	14.41	-28.20	9.17	11.33	17.05	-113.81	136.10	-39.14	50.25	-0.31	25	17	86	1	19	43	7.90	39.91	5999.00	42.37	-7019.80	
18	84.50	16.80	-33.38	11.67	19.76	22.35	-47.71	145.41	-31.50	34.08	0.00	35	21	73	5	20	26	18.38	53.38	5978.90	45.56	-6523.90	
19	52.78	22.61	-18.79	8.96	2.09	12.33	-40.01	26.75	-19.89	50.83	-0.92	20	33	58	2	12	11	27.73	24.69	5810.30	85.12	-6595.20	
20	56.24	25.07	-27.44	17.07	1.50	15.65	-59.71	54.60	-50.75	67.30	0.00	21	23	33	1	21	24	14.77	25.52	5104.90	38.84	-6136.30	
21	58.15	19.08	-21.47	17.77	6.13	15.28	-129.36	98.14	-26.53	41.84	-0.91	13	22	42	15	35	13	-5.33	4.58	6766.50	29.14	-6865.20	
22	54.78	1.08	-33.19	19.18	8.36	14.82	-125.84	129.38	-45.74	36.63	-1.31	33	22	51	5	28	20	23.06	31.56	6625.80	51.46	-7767.80	
23	62.65	54.62	-12.15	6.12	15.05	20.34	-54.17	70.04	-18.38	36.26	-0.52	25	36	69	1	11	18	26.30	39.15	5574.00	36.65	-6651.20	
24	58.13	-22.45	-29.25	15.64	7.95	15.69	-84.36	10.85	-20.61	18.12	-1.82	22	19	51	4	21	22	13.77	28.51	5015.90	5.21	-5683.80	
25	63.85	-24.13	-32.69	11.74	-0.03	16.05	-71.83	15.65	-31.30	50.03	-0.76	33	17	39	1	14	29	7.95	33.55	5193.90	22.56	-6104.70	
26	80.74	42.88	-33.62	40.51	10.08	11.44	-35.18	148.20	-27.57	37.68	-0.22	31	31	67	10	24	20	29.05	32.81	6326.70	78.59	-6933.90	
27	53.40	42.14	-34.29	17.70	16.05	17.50	-43.35	129.05	-56.86	46.78	-0.96	29	31	54	8	20	23	10.76	41.27	5886.60	39.69	-6910.20	
28	77.77	20.19	-30.22	15.39	12.85	9.47	-46.30	59.54	-25.01	27.47	0.00	28	18	68	6	22	29	25.66	42.04	7024.90	-0.68	-7751.40	
29	91.95	16.93	-18.14	7.74	8.65	14.98	-35.32	63.73	-19.76	18.50	0.00	28	25	58	9	22	27	17.14	30.64	5741.10	15.83	-6524.20	
30	61.99	-0.51	-19.15	36.42	-7.09	11.01	-79.57	0.00	-37.63	12.37	0.00	26	23	62	1	10	26	16.65	36.09	6137.90	49.34	-7196.70	
31	76.41	-3.34	-24.23	13.84	11.50	17.17	-128.37	58.55	-27.81	32.12	-1.00	19	27	69	4	31	32	-0.90	10.33	5980.30	16.17	-6373.60	
32	59.35	20.50	-26.85	20.55	10.84	7.58	-82.00	85.55	-44.83	40.48	-0.21	38	18	54	6	28	17	26.08	43.41	5458.70	42.08	-6275.70	
33	72.04	32.54	-31.50	14.98	24.01	28.12	-73.50	78.82	-47.48	57.52	-1.57	31	22	52	10	29	24	2.30	20.33	6293.40	7.28	-6843.50	
34	52.24	48.72	-26.91	24.37	14.96	21.27	-53.82	99.52	-37.76	37.03	0.00	13	22	58	6	32	28	0.67	18.63	6736.40	8.17	-7078.80	
35	80.71	15.86	-24.85	9.76	7.75	26.89	-29.70	31.98	-27.16	38.83	0.00	17	24	41	4	23	30	9.83	24.52	5447.90	33.57	-5525.80	
36	60.19	-45.22	-27.29	18.45	0.65	13.40	-88.89	21.19	-31.87	6.37	0.00	12	21	46	5	18	27	-6.98	15.36	4942.60	-4.93	-5230.70	
37	33.70	8.14	-26.06	19.99	6.34	17.76	-28.06	66.95	-44.57	14.31	-0.73	21	23	46	5	19	26	17.17	35.57	5326.30	29.30	-5932.00	
38	92.76	13.26	-30.98	9.47	13.14	24.66	-123.08	89.54	-47.15	42.02	-1.11	24	12	35	6	28	17	7.47	18.52	4679.80	4.86	-4460.70	
39	77.82	14.52	-33.46	18.84	10.86	14.30	-12.40	66.94	-5.89	23.47	-0.57	8	30	30	9	42	27	9.31	13.47	6138.50	52.91	-6163.70	
40	82.13	-2.03	-27.58	19.22	13.55	19.38	-6.49	0.00	-3.38	8.98	-1.25	12	52	45	4	35	25	18.67	22.09	7104.20	40.13	-7376.00	
41	77.98	52.28	-38.21	23.26	12.46	15.16	-20.16	213.70	-23.32	49.19	-0.55	25	47	75	9	23	32	27.01	40.50	7716.70	92.09	-9035.10	
42	78.38	-12.62	-27.80	7.05	10.58	12.84	0.00	0.00	-10.39	15.18	-0.59	6	17	30	19	25	15	-10.88	-4.22	5381.90	25.88	-4951.40	
43	74.08	9.80	-22.73	14.41	10.41	26.78	-91.21	78.98	-44.88	16.85	-1.09	20	17	56	14	45	32	-6.25	11.45	6597.80	-1.47	-7089.30	
